Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol,Length,Sequence Number,Acknowledgment Number,Flags,Window Size,Checksum,Payload (Hex),Truncated
2024-09-07T13:48:12.679Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215414794,1343226490,10,634,d522,e00af690bdbbb01f8c2cc03008004500002821c900003f06ab9b142a491c...,No
2024-09-07T13:48:12.679Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215416176,1343226490,10,634,cfbc,e00af690bdbbb01f8c2cc03008004500002821ca00003f06ab9a142a491c...,No
2024-09-07T13:48:12.679Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215416465,1343226490,10,634,ce9b,e00af690bdbbb01f8c2cc03008004500002821cb00003f06ab99142a491c...,No
2024-09-07T13:48:12.720Z,162.159.135.234,443,172.20.165.17,61130,TCP,322,37494110,1343750159,18,15,ad8e,e00af690bdbb68e59e61f51f080045000134261e00003f06d8f6a29f87ea...,No
2024-09-07T13:48:12.765Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035175769,1343226365,10,509,51c5,68e59e61f51fe00af690bdbb0800450000285a8440008006249cac14a511...,No
2024-09-07T13:48:12.767Z,162.159.135.234,443,172.20.165.17,61130,TCP,140,37494110,1343750159,18,15,e3f3,e00af690bdbb68e59e61f51f08004500007e262300003f06d9a7a29f87ea...,No
2024-09-07T13:48:12.789Z,172.20.165.17,52056,8.8.4.4,443,TCP,55,2221891869,1343226368,10,512,dc47,68e59e61f51fe00af690bdbb080045000029cfee40008006cdaeac14a511...,No
2024-09-07T13:48:12.790Z,8.8.4.4,443,172.20.165.17,52056,TCP,66,120896134,2148532835,10,611,2259,e00af690bdbb68e59e61f51f080045000034fe2200003f06207008080404...,No
2024-09-07T13:48:12.791Z,172.20.165.17,52040,20.42.65.85,443,TCP,139,479563053,1343750653,18,509,4772,68e59e61f51fe00af690bdbb08004500007d10f34000800642e3ac14a511...,No
2024-09-07T13:48:12.791Z,172.20.165.17,52040,20.42.65.85,443,TCP,994,479563053,1343750653,18,509,69e4,68e59e61f51fe00af690bdbb0800450003d410f4400080063f8bac14a511...,No
2024-09-07T13:48:12.791Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376984217,1343226496,10,640,26d8,e00af690bdbb68e59e61f51f0800450000287ed100003f06565a142a4155...,No
2024-09-07T13:48:12.792Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376985157,1343226493,10,637,232f,e00af690bdbbb01f8c2cc0300800450000287ed200003f065659142a4155...,No
2024-09-07T13:48:12.807Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035175855,1343226364,10,508,5170,68e59e61f51fe00af690bdbb0800450000285a8540008006249bac14a511...,No
2024-09-07T13:48:13.031Z,20.42.65.85,443,172.20.165.17,52040,TCP,86,376985157,1343750784,18,640,c93e,e00af690bdbb68e59e61f51f080045000048812400003f0653e7142a4155...,No
2024-09-07T13:48:13.074Z,172.20.165.17,52040,20.42.65.85,443,TCP,54,479563085,1343226365,10,509,238f,68e59e61f51fe00af690bdbb08004500002810f5400080064336ac14a511...,No
2024-09-07T13:48:13.100Z,20.42.73.28,443,172.20.165.17,54110,TCP,154,1215416465,1343750784,18,640,73fb,e00af690bdbb68e59e61f51f08004500008c21dc00003f06ab24142a491c...,No
2024-09-07T13:48:13.101Z,172.20.165.17,54110,20.42.73.28,443,TCP,89,399848133,1343750653,18,509,81d4,68e59e61f51fe00af690bdbb08004500004b929d40008006b9a3ac14a511...,No
2024-09-07T13:48:13.101Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215416500,1343226496,10,640,ce0e,e00af690bdbb68e59e61f51f08004500002821dd00003f06ab87142a491c...,No
2024-09-07T13:48:13.175Z,162.159.135.234,443,172.20.165.17,61130,TCP,97,37494110,1343750159,18,15,8306,e00af690bdbb68e59e61f51f080045000053263700003f06d9bea29f87ea...,No
2024-09-07T13:48:13.229Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035175898,1343226364,10,508,5145,68e59e61f51fe00af690bdbb0800450000285a8640008006249aac14a511...,No
2024-09-07T13:48:13.436Z,20.42.65.85,443,172.20.165.17,52040,TCP,148,376985157,1343750784,18,640,cec1,e00af690bdbb68e59e61f51f080045000086814600003f065387142a4155...,No
2024-09-07T13:48:13.436Z,172.20.165.17,52040,20.42.65.85,443,TCP,89,479563179,1343750652,18,508,ffcd,68e59e61f51fe00af690bdbb08004500004b10f6400080064312ac14a511...,No
2024-09-07T13:48:13.439Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376985192,1343226496,10,640,228b,e00af690bdbb68e59e61f51f080045000028814700003f0653e4142a4155...,No
2024-09-07T13:48:13.439Z,172.20.165.17,52040,20.42.65.85,443,TCP,134,479563179,1343750652,18,508,c081,68e59e61f51fe00af690bdbb08004500007810f74000800642e4ac14a511...,No
2024-09-07T13:48:13.439Z,172.20.165.17,52040,20.42.65.85,443,TCP,931,479563179,1343750652,18,508,46dc,68e59e61f51fe00af690bdbb08004500039510f8400080063fc6ac14a511...,No
2024-09-07T13:48:13.441Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376985272,1343226496,10,640,223b,e00af690bdbb68e59e61f51f080045000028814800003f0653e3142a4155...,No
